partition 1 (mean = 0.077100)       partition 2 (mean = 0.087917)
7.162949939513099662e-02             1.054449658419465280e-01
1.187802649445333786e-01             7.640866379223033855e-02
1.050459599350535012e-01             8.685567964840613941e-02
4.502543584139630933e-02             8.175390673522954510e-02
7.581458572109769922e-02             6.390568026863222006e-02
4.650610709211167038e-02             8.502675519415618666e-02
8.901656377158168043e-02             1.070253085785943248e-01
6.273870960501008731e-02             7.142839087999304504e-02
1.427069172039329148e-01             1.511678227344910863e-01
6.353863532853397389e-02             6.445952071507764225e-02
6.298883310076129616e-02             5.844524178836376510e-02
4.252356912280339657e-02             1.005511831653657512e-01
6.778447605185101976e-02             8.687224436564433550e-02
5.703575540075535993e-02             1.180767448452240409e-01
6.789480746736019368e-02             6.021840291574875881e-02
4.952716298799722527e-02             7.577108438834787019e-02
7.965809775108546875e-02             8.160688357433440454e-02
1.060804292258353265e-01             7.726950981841983201e-02
4.032968653018838279e-02             7.379175017462513697e-02
3.840984669667543705e-02             6.120492779351858342e-02
6.728754731091012020e-02             9.077585247739181074e-02
1.238859650243296778e-01             7.634996938233766517e-02
8.651311647718742948e-02             7.802646018465397848e-02
7.488637524460728390e-02             1.485286545007052372e-01
6.541216320385979943e-02             7.433980921924063234e-02
8.129623173196776076e-02             7.635612089529708602e-02
1.324517384206997384e-01             7.879568597419359111e-02
9.677297285077567091e-02             9.575348793554123994e-02
7.211483728550500960e-02             7.797543342224183549e-02
9.139704512148111304e-02             8.039682699137241928e-02
7.136977073570231755e-02             5.797046189060420934e-02
9.928901962804081993e-02             7.153917569993724357e-02
6.812565301756443037e-02             7.631552714801929926e-02
1.390002435475266029e-01             8.493764432764211447e-02
7.595227262937177815e-02             9.117960271811526018e-02
6.650011350294164625e-02             5.943008638545217021e-02
6.873151118256903835e-02             7.092324614149923823e-02
7.805027930656951995e-02             7.211523997317259571e-02
1.327802841560936364e-01             6.261755015325240481e-02
6.043220994495164533e-02             1.192968178912363758e-01
1.093793292887379892e-01             6.500812917244527811e-02
6.410402455713563874e-02             1.139987870595332714e-01
8.415877553194134331e-02             8.130289773205320869e-02
5.289816289431317764e-02             6.474291383401863109e-02
6.579151757045205440e-02             5.705146427433046424e-02
1.119379269353263373e-01             7.989638686984018578e-02
5.902844185616133027e-02             1.043511604717100860e-01
7.235985520648684222e-02             1.375919918826865318e-01
7.030142411410313097e-02             8.413610502068005759e-02
8.411926221705824658e-02             7.563851659310420750e-02
6.328401309697079258e-02             7.024690377476233705e-02
8.582767649229819384e-02             9.806430560994605639e-02
4.950531785545139035e-02             7.281532486727136655e-02
7.430636432176503103e-02             6.492391606707619001e-02
1.264380623825909211e-01             6.047762419551799828e-02
8.112052696684096675e-02             1.121370846388052983e-01
1.281045852499028415e-01             9.307456004919541226e-02
4.898404603710960342e-02             8.884560539703495463e-02
8.946247266906844076e-02             6.087604853779916836e-02
6.892513486138604484e-02             7.995976649207703346e-02
4.593546596658524411e-02             7.026815139247695463e-02
1.133850410972779971e-01             6.742551953501836615e-02
5.674337453046397056e-02             6.964382717667867706e-02
8.751100867523234350e-02             8.150415381025424844e-02
8.683781881477409259e-02             7.340855313635638590e-02
1.366775305886776537e-01             6.914967668482233099e-02
4.246613313063588718e-02             5.558692365142586800e-02
4.364752573690463405e-02             6.377320349762635732e-02
5.794552514598296650e-02             6.937049789884422446e-02
9.202057805967804593e-02             9.554565369952573717e-02
7.643935536179750911e-02             6.933261998171012797e-02
1.344003020569565499e-01             7.255550953413580917e-02
5.645954727592126382e-02             7.485531553408744654e-02
