partition 1 (mean = 0.134930)       partition 2 (mean = 0.090506)
2.154888205585835936e-01             1.000481998027843156e-01
1.513198209657190541e-01             9.861950037180504391e-02
1.570479064202861541e-01             9.664464692799901169e-02
1.869108015122432076e-01             7.347823108896271715e-02
2.395299084082476992e-01             5.573731784176990528e-02
2.239546312074489343e-01             8.629509643098633165e-02
1.627166881138321641e-01             7.756110490332603080e-02
2.155533939085612360e-01             1.095341536155698958e-01
1.687284289371460966e-01             8.980300018426708164e-02
1.360161804923870621e-01             8.981220445132355457e-02
1.029561634097693468e-01             7.037860282425471847e-02
1.401862117381328654e-01             5.710508044361559815e-02
1.145604354642401901e-01             6.873424725708843219e-02
1.506668175520910202e-01             6.466463126046220755e-02
2.306457725340391174e-01             4.881068170825927921e-02
1.010131968912722361e-01             1.255712896390800970e-01
1.389332980221047453e-01             7.742077875318813251e-02
1.389490211839917166e-01             6.650736374071909707e-02
8.620160095576641368e-02             8.060076584559033863e-02
1.066439679617703779e-01             5.535795204385487306e-02
7.029091057381710306e-02             1.087263469864229309e-01
1.230429501544490628e-01             7.451137970633237018e-02
1.571670438015854154e-01             1.006277948196603045e-01
2.323564343028453327e-01             6.205570362275449753e-02
1.837334299009454608e-01             9.386777401583426550e-02
9.004895230760316671e-02             7.839348460464178048e-02
1.170939233557290321e-01             9.456891955309568165e-02
1.091959903295117995e-01             7.961699051427566232e-02
1.714127670032409290e-01             7.125466666086989476e-02
1.055153898863468720e-01             9.039108889366659350e-02
1.469894977942265979e-01             1.231019046846843074e-01
1.414297947936521416e-01             8.115068286262709651e-02
1.405585696755939640e-01             8.081277872628422898e-02
1.337643973185532464e-01             1.039485472905240515e-01
1.755190583027134710e-01             1.278570167650011913e-01
1.622275835281063172e-01             6.699179901361700107e-02
1.240192689299962070e-01             5.875381725813593609e-02
1.586918590721974609e-01             7.134646272939822176e-02
1.202140599324307974e-01             8.638930601408592591e-02
1.222959323613593274e-01             1.050161090698991245e-01
2.052236986974305955e-01             1.001573457144767781e-01
1.342925749195585661e-01             9.412488382666091280e-02
9.599186220171232464e-02             8.053339631869455006e-02
7.553576368081522940e-02             1.468222266667212617e-01
1.281050959933374422e-01             6.834793115013590437e-02
1.990042696006741052e-01             1.150413490265028982e-01
1.651212413461831119e-01             7.521865408259485741e-02
9.597477805375985438e-02             6.339979439626643176e-02
1.787665207159351288e-01             8.059284392215233794e-02
1.618035726177264322e-01             8.520603428509286592e-02
1.049186764320499538e-01             7.245087107743122812e-02
1.968915534123758804e-01             9.167933920308685147e-02
1.093789684841457999e-01             1.174926476250249680e-01
1.645639029713740487e-01             6.640781225935783738e-02
1.250522297753603462e-01             9.175560215772726735e-02
1.598843186905217484e-01             1.324452710759699559e-01
1.922352930726090592e-01             1.207839073413599640e-01
1.191439813357987876e-01             9.350981242580830299e-02
1.283824595784870404e-01             7.407469560964913269e-02
1.547996101383702638e-01             6.319919759472060472e-02
1.367062157560302582e-01             7.488728751463510913e-02
1.740919904319377376e-01             9.064810109178268738e-02
1.349375509697273157e-01             9.034635045853327273e-02
1.408210186003308328e-01             9.368445736798156065e-02
1.154691473297892457e-01             1.473316441159209789e-01
1.031278609823321063e-01             9.334569343818058251e-02
1.080430740406627954e-01             1.061106947478403090e-01
1.527825230576193571e-01             1.113293620008789370e-01
1.173054316050229778e-01             7.979082507205527419e-02
1.762636264909010209e-01             9.334723777821221646e-02
1.396780789884756735e-01             1.106422552274427262e-01
1.363379608125190323e-01             8.480894331596969260e-02
1.445096384983720617e-01             1.093219557252022162e-01
1.516621489180981497e-01             9.553602532805116621e-02
1.041350325360132084e-01             5.807210547891292207e-02
1.096288613357228464e-01             6.713054972809009979e-02
1.477889341488412833e-01             7.549405037728011691e-02
2.635005636966498144e-01             1.405926068629093917e-01
8.623643301245124959e-02             1.145446440816125511e-01
2.168881493626630408e-01             8.644460830292437226e-02
1.096801416302186083e-01             1.158344967609317155e-01
1.493996182050906785e-01             9.793736368144291549e-02
1.190231084364315461e-01             7.083388645921116777e-02
1.277531115022433883e-01             5.520455442506382038e-02
1.163414412038916712e-01             7.933522108112206483e-02
1.353759629416388388e-01             8.745678616928952154e-02
1.434942502503978312e-01             1.082781779333493177e-01
2.317092899964091346e-01             5.190863657317656976e-02
1.291067602259836078e-01             1.119222532489633631e-01
1.322748717125084572e-01             1.006804625240445977e-01
1.939726303338354663e-01             1.194942496998557119e-01
1.750906910636257363e-01             8.940492274269117023e-02
1.318356716307618748e-01             8.494639183115480774e-02
1.268968018547560472e-01             7.689581143433303623e-02
9.538381134953995144e-02             6.581847736007620520e-02
1.285868832796698558e-01             8.480943592259793107e-02
8.054721021418165261e-02             1.173522578390967103e-01
6.361163010498792347e-02             6.000718743972540542e-02
2.167178917303490271e-01             7.779458772399427957e-02
1.647874689232979029e-01             6.768062303262240009e-02
1.315798673927218998e-01             9.686656179451118287e-02
1.579502554270599268e-01             1.054181667355310742e-01
1.210801021112987430e-01             9.604937871897031854e-02
1.944005450613505159e-01             8.132649844614271706e-02
1.637566476164258045e-01             5.535150674144511534e-02
1.001224502769568342e-01             7.837587928317256425e-02
1.093132613868141589e-01             9.049834860397369674e-02
1.798499755737940908e-01             9.669434339778611165e-02
1.836036878755004098e-01             5.029279092488227187e-02
1.282177511770610234e-01             8.173929864947244994e-02
9.552687213604123262e-02             6.293511011158127444e-02
1.547318289763883747e-01             8.551196612878199377e-02
2.278321093323321112e-01             6.483784521772981146e-02
1.472906558203804783e-01             6.979715383541423845e-02
1.321821738659210155e-01             8.785379344029593807e-02
1.167307951673658972e-01             8.231879044161770353e-02
1.443227246102396222e-01             8.078147494543541640e-02
1.048246918202086486e-01             8.632840651529244402e-02
1.509202970683889977e-01             6.512116215809296560e-02
1.571394061252250618e-01             9.415677316493302473e-02
1.201725636161000144e-01             1.080439891994567081e-01
1.754343392862077744e-01             8.995410149286808821e-02
1.690111022435646093e-01             1.102982831019952287e-01
1.112081802245390993e-01             6.706760052038937547e-02
2.721414008238094984e-01             1.018202608063616815e-01
1.272143498173542997e-01             6.466613916729073430e-02
3.504065764522059090e-01             7.046161390920405165e-02
1.137877989242738197e-01             6.082523763620319851e-02
1.383746709864246971e-01             1.059791701675940334e-01
1.401653269414874503e-01             5.256284929021255714e-02
1.187049967317657523e-01             9.615892196930300728e-02
1.376610605984119606e-01             7.471621583923800103e-02
1.724014266555065344e-01             5.444131376919338072e-02
2.716647320438220770e-01             9.931304794070275332e-02
1.379069488401857835e-01             5.678947425156196521e-02
1.366880028105756095e-01             8.105612164914774431e-02
1.791175554341329912e-01             9.712459336943440880e-02
1.619683263986601285e-01             1.080656393056929898e-01
1.179275266936471167e-01             7.021532321831989998e-02
1.051151805517847870e-01             7.722992039088490135e-02
1.550515177852374860e-01             6.411984210641318016e-02
1.862570863281065858e-01             1.400711262061025975e-01
1.368605149037568358e-01             5.009963978265668388e-02
